 CONUS;STANDARD CONUS RATE;STANDARD CONUS RATE;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;ANNISTON ARMY DEPOT;CALHOUN COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;AUTAUGA COUNTY;AUTAUGA COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;BALDWIN COUNTY;BALDWIN COUNTY;06/01;07/31;156;59;37;220;10/01/2016;
ALABAMA;BALDWIN COUNTY;BALDWIN COUNTY;03/01;05/31;122;59;37;186;10/01/2016;
ALABAMA;BALDWIN COUNTY;BALDWIN COUNTY;08/01;09/30;105;59;37;169;10/01/2016;
ALABAMA;BALDWIN COUNTY;BALDWIN COUNTY;10/01;02/28;105;59;37;169;10/01/2016;
ALABAMA;BARBOUR COUNTY;BARBOUR COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;BESSEMER NAVAL & MC RES CTR;JEFFERSON COUNTY;01/01;12/31;96;54;34;155;10/01/2016;
ALABAMA;BIBB COUNTY;BIBB COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;BLOUNT COUNTY;BLOUNT COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;BULLOCK COUNTY;BULLOCK COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;BUTLER COUNTY;BUTLER COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CALHOUN COUNTY;CALHOUN COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CHAMBERS COUNTY;CHAMBERS COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CHEROKEE COUNTY;CHEROKEE COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CHILTON COUNTY;CHILTON COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CHOCTAW COUNTY;CHOCTAW COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CLARKE COUNTY;CLARKE COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CLAY COUNTY;CLAY COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CLEBURNE COUNTY;CLEBURNE COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;COFFEE COUNTY;COFFEE COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;COLBERT COUNTY;COLBERT COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;CONECUH COUNTY;CONECUH COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
ALABAMA;COOSA COUNTY;COOSA COUNTY;01/01;12/31;91;46;30;142;10/01/2016;
